Model,Base_VLM,Action_Family,Training_Data,CKNNA_ckpt_steps,feats_A_dim,feats_action_dim,feats_action_source,CKNNA_action_k5,CKNNA_action_k10,CKNNA_action_k20,CKNNA_proprio_k5,CKNNA_proprio_k10,CKNNA_proprio_k20,WidowX_avg_entire,WidowX_avg_source,Notes,MutualKNN_action_k5,MutualKNN_action_k10,MutualKNN_action_k20,MutualKNN_proprio_k5,MutualKNN_proprio_k10,MutualKNN_proprio_k20
Qwen2.5-GR00T-Bridge,Qwen2.5-VL-3B,flow-matching-DiT,Bridge_only,45k,2048,1024,action_model.action_decoder pre-hook (final denoise step),0.1174,0.1113,0.1135,0.1348,0.1168,0.1121,71.4,README Model Zoo,No per-task breakdown available; Bridge-only training,0.0929,0.0965,0.1044,0.0994,0.0939,0.0988
Qwen2.5-GR00T-Bridge-RT-1,Qwen2.5-VL-3B,flow-matching-DiT,Bridge+Fractal,30k,2048,1024,action_model.action_decoder pre-hook (final denoise step),0.0468,0.0489,0.0553,0.1237,0.1080,0.1033,63.6,README Model Zoo,"Per-task avg=61.8, README says 63.6; possible different eval run",0.0448,0.0494,0.0586,0.0977,0.0920,0.0949
Qwen3-GR00T-Bridge-RT-1,Qwen3-VL-4B,flow-matching-DiT,Bridge+Fractal,20k,2560,1024,action_model.action_decoder pre-hook (final denoise step),0.0909,0.0844,0.0878,0.1216,0.0987,0.0922,65.3,starvla_simpleEnv.md computed,Per-task (83.0+59.4+18.8+100)/4=65.3 verified,0.0725,0.0731,0.0807,0.0900,0.0800,0.0834
Qwen2.5-FAST-Bridge-RT-1,Qwen2.5-VL-3B,autoregressive,Bridge+Fractal,10k,2048,2048,generate() hidden_states[-1] per step,0.0531,0.0503,0.0490,0.1053,0.0813,0.0742,58.6,starvla_simpleEnv.md computed,Per-task (71.9+41.7+36.5+84.4)/4=58.6 verified,0.0401,0.0418,0.0446,0.0737,0.0645,0.0649
Qwen2.5-OFT-Bridge-RT-1,Qwen2.5-VL-3B,MLP-regression,Bridge+Fractal,10k,2048,2048,VLM hidden_states at action token positions,0.2586,0.2283,0.2104,0.0996,0.0771,0.0688,44.2,starvla_simpleEnv.md computed,Per-task (39.6+40.3+10.4+86.5)/4=44.2; README says 41.8 (likely copy error from OpenVLA-OFT),0.2075,0.1912,0.1830,0.0769,0.0654,0.0638
Qwen3-OFT-Bridge-RT-1,Qwen3-VL-4B,MLP-regression,Bridge+Fractal,5k,2560,2560,VLM hidden_states at action token positions,0.2122,0.1914,0.1817,0.0945,0.0724,0.0650,42.7,README Model Zoo,CKNNA ckpt=5k; starvla_simpleEnv shows 65k step=59.6; step mismatch,0.1775,0.1687,0.1704,0.0726,0.0610,0.0597
spatialvla-sft-bridge,PaLiGemma2-3B,autoregressive,Bridge (SFT),-,2304,2304,generate() hidden_states[-1] per step,0.2927,0.2359,0.2004,0.1391,0.1147,0.1015,42.7,CSV Avg-entire,Per-task (16.7+25.0+29.2+100)/4=42.7 verified,0.1358,0.1136,0.1073,0.0858,0.0750,0.0715
pi0-lerobot-bridge,PaliGemma+Gemma-expert,flow-matching-expert,Bridge,-,2048,1024,gemma_expert.model.norm hook (final denoise step),0.4931,0.4751,0.4794,0.0791,0.0549,0.0437,47.9,CSV Avg-entire,Per-task (50+41.67+29.17+70.83)/4=47.9 verified,0.4265,0.4268,0.4411,0.0576,0.0431,0.0376
openvla-7b-bridge,Prismatic(DINOv2+SigLIP)+Llama2-7B,autoregressive,OXE (pretrained),-,4096,4096,generate() hidden_states[-1] per step,0.3913,0.3416,0.3115,0.1187,0.0905,0.0765,1.0,CSV Avg-entire,Base model not finetuned on Bridge; (0+0+0+4.1)/4=1.0,0.2591,0.2367,0.2268,0.0773,0.0665,0.0645
openvla-7b-bridge-ft-200k,Prismatic(DINOv2+SigLIP)+Llama2-7B,autoregressive,Bridge (LoRA FT),200k,4096,4096,generate() hidden_states[-1] per step,0.3513,0.3216,0.3082,0.1104,0.0894,0.0790,10.4,SimplerEnv bridge.sh (24ep/task),"LoRA r=32 FT on Bridge V2 (200k steps); base=openvla-7b; (4.17+0+0+37.5)/4=10.4; prompt bug fixed (In: ...Out:); PutEggplant 37.5% notable",0.2610,0.2513,0.2459,0.0809,0.0712,0.0715
RT-1-X,EfficientNet-B3+FiLM(USE)+Transformer,discrete-logits,OXE (pretrained),-,512,512,context_image_tokens mean-pool (same as feats_A; post-transformer locked in TF SavedModel),0.9979,0.9989,0.9994,0.1066,0.0895,0.0860,0.0,SimplerEnv benchmark CSV,Pre-transformer features only (post-TF locked); feats_action==feats_A; (0+0+0+0)/4=0.0,1.0000,1.0000,1.0000,0.0821,0.0759,0.0791
